,salary,jobcity,gender,10percentage,10board,12percentage,12board,collegetier,degree,specialization,collegegpa,collegecitytier,collegestate,Tenure,Join_age,designations,Personality_ts
0,420000,Bangalore,f,84.3,State,95.8,State,2,Bachelors,CSE,78.0,0,Andhra Pradesh,3,22,others,0.64456
1,500000,Indore,m,85.4,State,85.0,State,2,Bachelors,ECE,70.06,0,Madhya Pradesh,2,24,manager,0.32822
2,325000,Chennai,f,85.0,State,68.2,State,2,Bachelors,CSE,70.0,0,Uttar Pradesh,1,22,engineer,0.3900600000000001
3,1100000,Gurgaon,m,85.6,State,83.6,State,1,Bachelors,CSE,74.64,1,Delhi,4,22,others,-0.256
4,200000,Manesar,m,78.0,State,76.8,State,2,Bachelors,ECE,73.9,0,Uttar Pradesh,1,23,others,-0.45357399999999987
5,300000,Hyderabad,m,89.92,State,87.0,State,2,Bachelors,ECE,76.32,0,Karnataka,1,22,engineer,-0.9641
6,300000,Banglore,m,86.08,State,67.5,State,2,Bachelors,CSE,72.98,1,Karnataka,1,21,engineer,-0.50632
7,400000,Bangalore,m,92.0,State,91.0,State,1,Bachelors,ME,8.58,0,Tamil Nadu,1,22,engineer,0.51978
8,600000,Noida,m,90.0,State,91.2,State,1,Bachelors,EEE,85.03,1,Delhi,2,22,engineer,-0.24916
9,230000,Kolkata,m,77.0,State,72.2,State,2,Bachelors,ECE,78.0,1,West Bengal,1,21,engineer,-0.13418000000000002
10,600000,Bangalore,m,88.6,State,83.7,State,2,Bachelors,CSE,74.9,0,Madhya Pradesh,4,22,senior,0.23176000000000002
11,450000,Pune,m,81.0,State,86.0,State,1,Bachelors,CSE,72.29,0,Madhya Pradesh,3,21,others,-0.23667999999999995
12,270000,Pune,m,83.6,State,69.83,State,2,Bachelors,ECE,60.0,0,Maharashtra,2,23,engineer,-0.043239999999999966
13,200000,Gurgaon,m,60.8,State,62.4,State,2,Bachelors,ECE,60.0,0,Haryana,1,24,analyst,-0.34706000000000004
14,300000,Bangalore,m,81.2,State,79.9,State,2,Bachelors,ECE,67.67,0,Uttar Pradesh,2,21,engineer,0.22034000000000004
15,350000,,f,69.54,State,64.43,State,2,Bachelors,CSE,63.0,0,Uttar Pradesh,2,23,engineer,1.0571799999999998
16,325000,Noida,m,85.8,State,74.8,State,2,Bachelors,ECE,64.8,0,Uttar Pradesh,1,22,engineer,0.29629999999999995
17,250000,Gurgaon,m,60.8,State,66.66,State,2,Masters,CSE,74.74,1,Delhi,1,26,associate,-0.02630000000000001
18,120000,Gurgaon,m,65.0,State,64.8,State,2,Bachelors,CSE,69.54,0,Uttar Pradesh,0,22,others,0.56348
19,325000,Pune,f,79.0,State,62.2,State,2,Bachelors,CSE,76.3,0,Uttar Pradesh,1,24,engineer,0.05546000000000002
20,320000,Bangalore,f,91.2,State,84.63,State,2,Bachelors,CSE,78.15,0,Karnataka,2,22,engineer,0.28834000000000004
21,200000,,f,75.67,State,74.4,State,2,Bachelors,CSE,74.01,0,Uttar Pradesh,1,21,engineer,-0.8556740000000002
